x value,timestamp,topic,value
-0.10846216231584549,1778965701.853874266,/fmu/out/vehicle_local_position.x,-0.06391482800245285
-0.10868111997842789,1778965701.874325977,/fmu/out/vehicle_local_position.x,-0.06338164955377579
-0.10889694839715958,1778965701.883754557,/fmu/out/vehicle_local_position.x,-0.06285977363586426
-0.10910970717668533,1778965701.903112988,/fmu/out/vehicle_local_position.x,-0.06234895437955856
-0.10931948572397232,1778965701.922387846,/fmu/out/vehicle_local_position.x,-0.06184893473982811
-0.10952635854482651,1778965701.936162201,/fmu/out/vehicle_local_position.x,-0.06135944277048111
-0.10973038524389267,1778965701.950498490,/fmu/out/vehicle_local_position.x,-0.060880210250616074
-0.10993163287639618,1778965701.966459446,/fmu/out/vehicle_local_position.x,-0.06041097268462181
-0.11013016104698181,1778965701.981290764,/fmu/out/vehicle_local_position.x,-0.059951476752758026
-0.11001772433519363,1778965701.994329531,/fmu/out/vehicle_local_position.x,-0.05926214158535004
-0.10991009324789047,1778965702.007187613,/fmu/out/vehicle_local_position.x,-0.058587007224559784
-0.1098071038722992,1778965702.029059501,/fmu/out/vehicle_local_position.x,-0.05792568624019623
-0.10970861464738846,1778965702.036991430,/fmu/out/vehicle_local_position.x,-0.05727780982851982
-0.10961447656154633,1778965702.052119096,/fmu/out/vehicle_local_position.x,-0.05664301663637161
-0.10952454805374146,1778965702.073907658,/fmu/out/vehicle_local_position.x,-0.05602094531059265
-0.1094386875629425,1778965702.080500073,/fmu/out/vehicle_local_position.x,-0.05541125684976578
-0.10935676842927933,1778965702.098971415,/fmu/out/vehicle_local_position.x,-0.05481360852718353
-0.10927865654230118,1778965702.120668940,/fmu/out/vehicle_local_position.x,-0.05422767251729965
-0.1092042401432991,1778965702.136615639,/fmu/out/vehicle_local_position.x,-0.05365312471985817
-0.10913338512182236,1778965702.145679709,/fmu/out/vehicle_local_position.x,-0.05308965593576431
-0.10906600207090378,1778965702.168742305,/fmu/out/vehicle_local_position.x,-0.052536990493535995
-0.1090020090341568,1778965702.177003961,/fmu/out/vehicle_local_position.x,-0.05199486389756203
-0.10894130915403366,1778965702.189234622,/fmu/out/vehicle_local_position.x,-0.051463011652231216
-0.1088838204741478,1778965702.204583283,/fmu/out/vehicle_local_position.x,-0.05094117671251297
-0.10882946103811264,1778965702.222913527,/fmu/out/vehicle_local_position.x,-0.05042911320924759
-0.10897298902273178,1778965702.236401931,/fmu/out/vehicle_local_position.x,-0.04998649284243584
-0.10911455750465393,1778965702.258884646,/fmu/out/vehicle_local_position.x,-0.049552466720342636
-0.10925424098968506,1778965702.274789946,/fmu/out/vehicle_local_position.x,-0.04912682622671127
-0.10939209908246994,1778965702.293786018,/fmu/out/vehicle_local_position.x,-0.04870936647057533
-0.10952819883823395,1778965702.301668814,/fmu/out/vehicle_local_position.x,-0.048299890011548996
-0.10966259241104126,1778965702.314141515,/fmu/out/vehicle_local_position.x,-0.04789820685982704
-0.10979533940553665,1778965702.334053443,/fmu/out/vehicle_local_position.x,-0.04750411584973335
-0.1099264994263649,1778965702.343567924,/fmu/out/vehicle_local_position.x,-0.0471174456179142
-0.11005613207817078,1778965702.356663971,/fmu/out/vehicle_local_position.x,-0.04673800989985466
-0.11018428206443787,1778965702.375495322,/fmu/out/vehicle_local_position.x,-0.04636562988162041
-0.11031099408864975,1778965702.388793257,/fmu/out/vehicle_local_position.x,-0.04600013419985771
-0.1104363203048706,1778965702.399105645,/fmu/out/vehicle_local_position.x,-0.04564133659005165
-0.11056029051542282,1778965702.411601123,/fmu/out/vehicle_local_position.x,-0.0452890619635582
-0.11068294197320938,1778965702.429762040,/fmu/out/vehicle_local_position.x,-0.044943127781152725
-0.11080431938171387,1778965702.436427925,/fmu/out/vehicle_local_position.x,-0.0446033738553524
-0.11092444509267807,1778965702.454105248,/fmu/out/vehicle_local_position.x,-0.0442696250975132
-0.11046724021434784,1778965702.474727619,/fmu/out/vehicle_local_position.x,-0.044560521841049194
-0.110021211206913,1778965702.486731259,/fmu/out/vehicle_local_position.x,-0.044842611998319626
-0.10958603024482727,1778965702.499634723,/fmu/out/vehicle_local_position.x,-0.045116160064935684
-0.109161376953125,1778965702.517710592,/fmu/out/vehicle_local_position.x,-0.04538143053650856
-0.10874693840742111,1778965702.531297313,/fmu/out/vehicle_local_position.x,-0.04563867300748825
-0.10834240168333054,1778965702.537662118,/fmu/out/vehicle_local_position.x,-0.045888129621744156
-0.10794747620820999,1778965702.550439383,/fmu/out/vehicle_local_position.x,-0.04613003879785538
-0.1075618714094162,1778965702.575926855,/fmu/out/vehicle_local_position.x,-0.04636463522911072
-0.10718531161546707,1778965702.582766416,/fmu/out/vehicle_local_position.x,-0.04659213498234749
-0.10681752860546112,1778965702.596717549,/fmu/out/vehicle_local_position.x,-0.0468127578496933
-0.10645824670791626,1778965702.616578298,/fmu/out/vehicle_local_position.x,-0.04702671244740486
-0.10610728710889816,1778965702.622915749,/fmu/out/vehicle_local_position.x,-0.047234151512384415
-0.1057644709944725,1778965702.638276411,/fmu/out/vehicle_local_position.x,-0.0474352091550827
-0.10542961210012436,1778965702.653153575,/fmu/out/vehicle_local_position.x,-0.04763003811240196
-0.1051025316119194,1778965702.665366265,/fmu/out/vehicle_local_position.x,-0.04781877622008324
-0.10489444434642792,1778965702.680752298,/fmu/out/vehicle_local_position.x,-0.04857916384935379
-0.10469207167625427,1778965702.694591606,/fmu/out/vehicle_local_position.x,-0.04932017996907234
-0.10449529439210892,1778965702.711274303,/fmu/out/vehicle_local_position.x,-0.050042346119880676
-0.1043040007352829,1778965702.724784772,/fmu/out/vehicle_local_position.x,-0.050746168941259384
-0.10411808639764786,1778965702.749619509,/fmu/out/vehicle_local_position.x,-0.05143214389681816
-0.10393745452165604,1778965702.764690086,/fmu/out/vehicle_local_position.x,-0.052100758999586105
-0.10376200079917908,1778965702.773595999,/fmu/out/vehicle_local_position.x,-0.052752479910850525
-0.10359162092208862,1778965702.786386138,/fmu/out/vehicle_local_position.x,-0.05338776484131813
-0.10342622548341751,1778965702.809712044,/fmu/out/vehicle_local_position.x,-0.05400704964995384
-0.10326572507619858,1778965702.818219518,/fmu/out/vehicle_local_position.x,-0.05461077392101288
-0.10311001539230347,1778965702.841906984,/fmu/out/vehicle_local_position.x,-0.05519935488700867
-0.10295898467302322,1778965702.856173755,/fmu/out/vehicle_local_position.x,-0.05577315017580986
-0.10281252861022949,1778965702.880554744,/fmu/out/vehicle_local_position.x,-0.05633250251412392
-0.10267053544521332,1778965702.887247991,/fmu/out/vehicle_local_position.x,-0.05687777325510979
-0.10253289341926575,1778965702.903169461,/fmu/out/vehicle_local_position.x,-0.05740927904844284
-0.10239950567483902,1778965702.916980579,/fmu/out/vehicle_local_position.x,-0.057927343994379044
-0.10301049798727036,1778965702.940781198,/fmu/out/vehicle_local_position.x,-0.05865611881017685
-0.10360927134752274,1778965702.948313866,/fmu/out/vehicle_local_position.x,-0.05936868488788605
-0.1041962131857872,1778965702.962647099,/fmu/out/vehicle_local_position.x,-0.06006544828414917
-0.1047716960310936,1778965702.985486603,/fmu/out/vehicle_local_position.x,-0.06074681505560875
-0.10533607006072998,1778965703.003032400,/fmu/out/vehicle_local_position.x,-0.061413172632455826
-0.1058897003531456,1778965703.027504108,/fmu/out/vehicle_local_position.x,-0.06206490099430084
-0.10643290728330612,1778965703.034809279,/fmu/out/vehicle_local_position.x,-0.06270236521959305
-0.106966033577919,1778965703.048218502,/fmu/out/vehicle_local_position.x,-0.06332593411207199
-0.10748939961194992,1778965703.066097238,/fmu/out/vehicle_local_position.x,-0.06393595784902573
-0.10800331085920334,1778965703.079269492,/fmu/out/vehicle_local_position.x,-0.06453277915716171
-0.10850806534290314,1778965703.094902405,/fmu/out/vehicle_local_position.x,-0.06511672586202621
-0.10900388658046722,1778965703.109120300,/fmu/out/vehicle_local_position.x,-0.06568808108568192
-0.10949096083641052,1778965703.127276041,/fmu/out/vehicle_local_position.x,-0.0662471130490303
-0.10996951162815094,1778965703.142680495,/fmu/out/vehicle_local_position.x,-0.06679408997297287
-0.1104397177696228,1778965703.153095723,/fmu/out/vehicle_local_position.x,-0.0673292800784111
-0.11074654757976532,1778965703.165114775,/fmu/out/vehicle_local_position.x,-0.06763656437397003
-0.11105005443096161,1778965703.178652723,/fmu/out/vehicle_local_position.x,-0.06793740391731262
-0.11135029792785645,1778965703.191238973,/fmu/out/vehicle_local_position.x,-0.06823189556598663
-0.11164732277393341,1778965703.205806551,/fmu/out/vehicle_local_position.x,-0.06852014362812042
-0.11194118857383728,1778965703.225766002,/fmu/out/vehicle_local_position.x,-0.06880225241184235
-0.11223193258047104,1778965703.231722348,/fmu/out/vehicle_local_position.x,-0.06907831877470016
-0.11251961439847946,1778965703.245659778,/fmu/out/vehicle_local_position.x,-0.06934843212366104
-0.11280427873134613,1778965703.266959800,/fmu/out/vehicle_local_position.x,-0.06961269676685333
-0.11308598518371582,1778965703.275489843,/fmu/out/vehicle_local_position.x,-0.0698712021112442
-0.11336476355791092,1778965703.296311245,/fmu/out/vehicle_local_position.x,-0.070124052464962
-0.1136406734585762,1778965703.302899786,/fmu/out/vehicle_local_position.x,-0.07037132233381271
-0.11391375213861465,1778965703.318383768,/fmu/out/vehicle_local_position.x,-0.07061314582824707
-0.11418404430150986,1778965703.332577730,/fmu/out/vehicle_local_position.x,-0.07084961980581284
-0.11445159465074539,1778965703.352327585,/fmu/out/vehicle_local_position.x,-0.07108085602521896
-0.11471644788980484,1778965703.358908056,/fmu/out/vehicle_local_position.x,-0.071306973695755
-0.11497864127159119,1778965703.373879258,/fmu/out/vehicle_local_position.x,-0.07152806967496872
-0.11507424712181091,1778965703.389109291,/fmu/out/vehicle_local_position.x,-0.07216470688581467
-0.11517263203859329,1778965703.401195478,/fmu/out/vehicle_local_position.x,-0.07278607040643692
-0.11527368426322937,1778965703.414400146,/fmu/out/vehicle_local_position.x,-0.07339255511760712
-0.11537729948759079,1778965703.430144766,/fmu/out/vehicle_local_position.x,-0.0739845559000969
-0.11548338085412979,1778965703.443755234,/fmu/out/vehicle_local_position.x,-0.0745624527335167
-0.11559182405471802,1778965703.456825200,/fmu/out/vehicle_local_position.x,-0.07512660324573517
-0.1157025471329689,1778965703.476530288,/fmu/out/vehicle_local_position.x,-0.07567737996578217
-0.11581545323133469,1778965703.485060934,/fmu/out/vehicle_local_position.x,-0.07621514052152634
-0.1159304529428482,1778965703.498640999,/fmu/out/vehicle_local_position.x,-0.07674021273851395
-0.1160474643111229,1778965703.513142916,/fmu/out/vehicle_local_position.x,-0.07725294679403305
-0.11616641283035278,1778965703.524159416,/fmu/out/vehicle_local_position.x,-0.07775365561246872
-0.11628720909357071,1778965703.546086406,/fmu/out/vehicle_local_position.x,-0.07824262231588364
-0.1164097711443901,1778965703.553840587,/fmu/out/vehicle_local_position.x,-0.07872014492750168
-0.11653401702642441,1778965703.568376095,/fmu/out/vehicle_local_position.x,-0.07918649911880493
-0.11665986478328705,1778965703.588154769,/fmu/out/vehicle_local_position.x,-0.07964195311069489
